Original,EN
地理位置不太好，沒有停車位。手沖咖啡所以沒有拿鐵，氣泡飲覺得味道有點點淡，烏龍麵不錯吃，服務也是還不錯，但下次如果是要去看海吃東西還是會選擇去淺水灣,"The geographical location is not very good and there is no parking space.Hand coffee so there is no latte, bubble drinks feel a little bit light, the oolong noodles are good, and the service is not bad, but if you want to go to the sea next time, you will choose to go to Qianshui Bay"
餐點非常普通  鹹派很普  鬆餅也很普  唯一好喝的只有咖啡吧…只能說是一間賣氣氛的海景餐廳。清潔費8%到底是清潔了什麼？廁所尿騷味超重，放餐具的地方螞蟻肆虐。唯一的服務大概就上菜，還有收吃完的餐盤。,"The meal is very ordinary, the salty school is very universal and the only delicious food is coffee ... It can only be said that it is a sea -view restaurant with an atmosphere.What is the cleaning fee of 8%cleaning?The toilet's urine flavor is overweight, and the ants are raging in places where tableware.The only service is probably served, and there is a dish that finishes eating."
"用餐時間100分鐘～
店裡充滿露營風格裝潢～
用餐起來非常chill
這次只點了飲料跟鬆餅
鐵鍋鬆餅賣相非常好吃起來口感也是100分！
下次想來嘗試鹹食大推喜歡","100 minutes meals ~
The store is full of camping style decoration ~
The meal is very chill
This time I just ordered a drink and a muffin
The iron pot muffins are very delicious and the taste is 100 points!
Next time I want to try salty food and push like it"
"原以為是熱門網美景點，來了發現整家店是滿滿的戶外魂😍。店面看照片比較大間，本人門面小小的，但整排看起來，靠北滿有特色。像去了很有生活風格的戶外人家裡拜訪一樣。

一樓-點餐區，包含產品寄賣，賣的商品有品牌’蘑菇‘的東西，還有些幽默復古的小物或戶外用品；
二樓-內用區，來的時候看到別人在吃烏龍麵很想吃一碗，可惜吃飽了，最後點了這邊很夯的鳳梨氣泡飲，非常大杯，怕甜可以點檸檬薄荷氣泡飲，看起來很陽春，但是這幾個裡最清爽好喝的。
三樓-海景陽台待一下午配著清爽氣泡飲滿解膩，另外朋友點的明治牛奶冰棒奶茶很適合愛喝奶茶的人喝，香甜還有冰棒吃，很消暑。另外怕冷的朋友點熱飲黑糖桂圓牛奶，很貼心的用保溫杯裝上來，這樣喝到最後還是熱的。

因為一桌平均一人要點到200，飲料大約是180上下，所以我們再點了一個蜂蜜威士忌蘋果磅蛋糕，送上來很小，以為很乾，但吃起來滿濕潤。

東西價格偏高，但因為景很美，店很有自己風格，建議來東北角人不多的時候，可以悠閒一下午。現場還提供望遠鏡。","I thought it was a popular network beauty attraction. I found that the entire shop was full of outdoor souls.The photos on the store are relatively large, and my facade is small, but the whole row looks like it is full of characteristics.It is like visiting the outdoor home with a very life -style style.

On the first floor-ordering area, including product selling, the products selling products include brand 'mushrooms', and some humorous retro small things or outdoor products;
The second floor-internal use area, when I came, I saw others eating a bowl of oolong noodles. Unfortunately, I was full. Finally, I ordered a very rammed pineapple bubble. I ’m very large. I’ m afraid of sweetness. Mint bubbles look very sunny, but these are the most refreshing and delicious.
The third floor-sea view balcony is equipped with refreshing bubbles to drink and decomposes. In addition, Mengzhi milk pops up milk tea, which is made by friends, is very suitable for people who love to drink milk tea. They are sweet and popsicles, which are very summer.In addition, friends who are afraid of cold drink hot sugar cinnamon milk, and use the thermos cup to install it very intimately.

Because the average table of one table is to be 200, the drink is about 180, so we ordered a honey whiskey apple cake, which was very small and thought it was very dry, but it was full of moist.

The price is high, but because the scenery is beautiful, the store has its own style. It is recommended that when there are not many people in the northeast corner, you can leisurely afternoon.The telescope is also available at the scene."
"優點：餐點真的很棒👍香烤雞腿🍗烏龍麵（昆布）東西很新鮮，裡面也好多配料有玉米筍🌽花椰菜🥦杏鮑菇.四季豆.海帶芽.份量對女生來說剛剛好，鬆餅🥞也超好吃的，可惜裡面的我冰淇淋一下就融化了，雖然沒有附設停車場🅿️但旁邊的巷子內有免費停車的公有停車場可停
缺點：夏天真的會熱昏頭，裡面只有2樓座位區有冷氣，但一點都不冷，水和餐具🍴和衛生紙🧻都是自助式的.但也要收服務費7% …","Advantages: The meal is really great 👍 fragrant grilled chicken legs 🍗 乌 noodles (Kunbu) are very fresh, and there are many ingredients with corn bamboo shoots, cauliflower, Pleurotus eryngii. , Muffins are also very delicious, but unfortunately my ice cream melted in it, although there are no parking lots 🅿️, there is a free parking park in the alley next to it to stop
Disadvantages: In summer, there will be hot and faint. There are only air -conditioning in the seat area in the second floor, but it is not cold at all."
來喝下午茶，很好拍，有機會想試試正餐,"Come and drink afternoon tea, it's easy to shoot, I have a chance to try dinner"
"這地方很chill
一樓有賣露營商品
然後三樓以及戶外風景真的滿棒的👍🏻","This place is very chill
There are camping products on the first floor
Then the third floor and outdoor scenery are really great"
"北海岸蠻紅的咖啡店
有兩層樓，還有海景座位
咖啡只有手沖，沒有一般的拿鐵、卡布

餐點的設計是很特別的但口味一般
整體內部的感覺是很棒的
價格蠻高，一個人低消要250
但單點一份到不了，都要點甜點加咖啡
大概要到450一人均消

適合來看海景聊聊天
停車要從前面TF那邊右轉進去公有停車場","Coffee shop with red coffee shop in the North Coast
There are two floors, as well as seascape seats
Coffee has only hand rushing, there is no ordinary latte, Kabu

The design of the meal is very special but the taste is average
The whole interior feels great
The price is quite high, a person is low to eliminate 250
But if you can't get a single copy, you must order desserts and coffee
About 450 per person to eliminate per capita

Suitable to see sea view chat
Turn right from the TF to the public parking lot from the front side of the parking"
"就算是平日也是頗多人特地前來，雖然忙碌但店員態度都親切，帶位入座後也會一一介紹餐點。
手沖單品是用保溫壺裝取，讓客人簡單體驗到露營的樂趣。
喝完咖啡再到戶外小營區還可以拍個照吹個海風放鬆。","Even if there are many people who come here on weekdays, although they are busy, the clerk's attitude is kind, and the meals will be introduced one by one after the seat.
Hand -punching items are packed with a thermal insulation pot, allowing guests to simply experience the fun of camping.
After drinking coffee, you can take a picture of the sea breeze to relax after drinking the coffee."
風景好 用餐環境舒適 餐點美味 老闆帥又親切 by BOOK,"The scenery is good meal environment comfortable meal, delicious boss is handsome and friendly by book"
整體店面很舒服，空間很清幽，食物飲品的部分蠻有特色的，網紅美食，價格偏高，可以來裝文青一下哈哈😅,"The overall storefront is very comfortable, the space is very quiet, the food and drink parts are quite distinctive. Net red food, the price is high, you can pretend to be Wenqing"
"店家前面不方便停車，可以停遠一點的空地再走路過來，佈置很用心，除了餐點之外還有賣餅乾、雜貨，主餐種類比較少一點，價格稍高但可以吃很飽，烏龍麵的菜多、湯頭讚，雞腿和小卷份量也都足夠(小卷非常新鮮，都是當天補撈的)，黃檸檬蛋糕外表樸實口味簡單，蛋糕體偏濕潤，有一點點酸不會過甜
有室內和戶外的座位，店員每個都很親切，可以先看環境再決定坐哪，店員介紹餐點也都很仔細；戶外座位風景很棒，但適合天氣晴朗帶微風的午後，戶外有營地造景適合拍照，可以坐室內用餐後出來散步消化一下，室內也有許多書籍可以消磨時間","It is not convenient to park in front of the store. You can stop the open space and walk over. The layout is very careful. In addition to the meal, there are biscuits and groceries. The main meals are relatively small. There are many noodles and soups, and the amount of chicken legs and small rolls are enough (the small rolls are very fresh, they are all replenished on the same day). The yellow lemon cake is simple and simple. sweet
There are rooms and outdoor seats. Each clerk is very kind. You can see the environment first and then decide where to sit. The clerk's introduction of the meals is also very careful. Scenery is suitable for taking pictures. You can take a walk and take a walk and digest in the room. There are also many books in the room that can spend time"
難得有海景，賣風景的咖啡廳餐點居然如此好吃❤️❤️❤️。不僅餐廳漂亮，餐點cp值很高，甜點鐵鍋德式鬆餅也好吃又特別👍👍👍👍。平日來真是一大享受。 …,"Rare sea views and landscape cafes are so delicious ❤️❤️❤️.Not only is the restaurant beautiful, the CP value of the meal is very high, and the dessert iron pot moral muffin is also delicious and special.It is really a great enjoyment.Mowing"
"一進店就有店員熱情招呼，對我來說覺得是熱情啦！
我喜歡平日造訪這些熱門的店家，悠閒許多！
店裡的小角落裡都有一點小心思
放置餐具的區域，是露營風，喜歡那支樹幹，肯定是海邊撿來的～
翻了一下雜誌都是日文的，看不懂沒辦法看。
點了鹹派跟蛋糕，鹹派比想像小了一些，可能不是能當正餐的份量，但是鹹派整體算蠻好吃的，派的底部酥酥的也很香，沙拉醬也蠻好吃的，有堅果的味道。
飲料的鳳梨是可以拿起來啃的，當天的鳳梨蠻甜的，我們都把它啃光了。
很適合情侶約約會，朋友聚會聊天。
停車可以停在後面的衝浪基地的公有停車場，如果開超過店面就要迴轉喔，但假日應該會不夠停。因為好多人衝浪跟玩水。","As soon as I entered the store, the clerk greeted enthusiastically, and it was enthusiastic for me!
I like to visit these popular stores on weekdays, much leisurely!
There are a little care in the small corner in the shop
The area where the tableware is placed is a camping style. I like that trunk. It must be picked up by the seaside ~
After turning the magazine, it is Japanese.
I ordered the Xianpai and cake. The Xianpai was smaller than I thought. It may not be the amount of meals, but the Xianpai as a whole is quite delicious. The bottom of the faction is crispy. , Taste of Nuts.
The pineapple of the beverage can be picked up. The pineapple of the day was quite sweet, and we all shred it out.
It is very suitable for couples to appointment, friends meet and chat.
Parking can park the public parking lot at the back surfing base.Because many people surf and play with water."
"1.特色店，一樓可以逛逛，外面可以看
2.鬆餅不是傳統格子乾乾的那種，偏濕潤有水果、米香跟冰淇淋，焦糖的很可以
3.鹹食選擇偏少，培根昆布烏龍麵的培根很大片又厚，口味比較清淡，價格稍高
4.派偏軟，一切就會散掉的，菇菇的味道不會太重，附上的香腸好吃，還有附上清爽生菜
5.最滿意是鳳梨氣泡飲
6.有收七趴服務費，假日低消250/人","1. Featured stores, you can stroll on the first floor, you can watch outside
2. The muffin is not the kind of dry grid. It is wet and moist, with fruits, rice incense and ice cream.
3. There are fewer salty food selection. The bacon noodles on Bacon Kunbu Oolong noodles are large and thick. The taste is lighter. The price is slightly higher
4. The faction is soft, everything will be dispersed. The taste of mushrooms will not be too heavy.
5. The most satisfied is the pineapple bubble drink
6. There are seven -party service fee, low holidays 250/person"
環境舒適，老闆很熱情，不知道是不是桌燈的緣故，有點熱。很喜歡咖哩湯烏龍的口味，小卷的香氣很驚艷，但烏龍麵口感偏軟很可惜。鬆餅有脆脆的口感很喜歡，薄荷檸檬氣泡偏甜（甜度不能調整），下次想試試咖啡,"The environment is comfortable, the boss is very enthusiastic. I don't know if it is a table lamp, it is a bit hot.I really like the taste of the curry soup oolong. The aroma of the small roll is amazing, but it is a pity that the ecstasy is soft.The muffin has a crispy texture, I like it, mint lemon bubbles are sweet (sweetness cannot be adjusted), next time I want to try coffee"
網路上查找的店，第一次拜訪果然沒有靠北，店內的陳設頗有自己的味道，除了海邊的商品外還有不少的書及雜誌供大家自取，最值得一提的是鼓勵淨灘做環保換點數，另小後院及頂樓有不少很貼心的小佈置，店員們都能很熱心的解釋，服務態度算水準之上，餐點不多樣，我們點了培根及雞腿的烏龍麵、蘋果派、鳳梨氣泡飲，及耶加雪菲都還算可口的，或許是環境好、服務親切，東西雖簡單但感覺就好！值得再來一次！,"The first visit to the shop on the Internet did not depend on the north. The furnishings in the store have their own taste. In addition to the products on the beach, there are many books and magazines for everyone to pick them up. There are many very intimate small arrangements for environmental protection for environmental protection. In addition, there are many small layouts on the top floor. The clerks can explain very enthusiastic explanations. Noodles, apples, pineapple bubbles, and Jear Snow Fei are still delicious. Perhaps the environment is good and the service is good. Although things are simple, it feels good!It's worthwhile again!"
"飲料餐點有特色，口味不錯，價格也算在合理範圍內。
座位區有分室內與室外，外頭景色不錯，好拍照。
另外店家有販售一些商品，質感上也ok","Drink meals are distinctive, the taste is good, and the price is counted within a reasonable range.
The seat area has indoor and outdoor. The scenery outside is good, good to take pictures.
In addition, the store has some products, and the texture is OK"
"在海邊的一家咖啡廳, 坐下來限2小時用餐, 餐點屬小份量, 建議吃飽再來😅~
座位在二樓,可以走出陽台遠眺大海,或到樓下後院有露營區的廣場美拍~靠近海邊就放鬆心情, 看看湛藍色天空與海,享受著藍色的美麗, 即使一個人也會很自在🌻！
點了手沖咖啡约190元~200元, 草苺牛奶冰淇淋鬆餅235元, 厚切培根烏龍麵280元,培根起司鹹派200元, 明治牛奶冰棒奶茶175元, 味道中等！(另加10%服務費) …","At a cafe by the sea, sit down for 2 hours for meals. The meal is a small amount. It is recommended to eat and come.
The seat is on the second floor, you can walk out of the balcony overlooking the sea, or go downstairs with the square beautiful shot of the camping area in the backyard ~ You can relax when you are near the sea, look at the blue sky and the sea, and enjoy the beauty of the blue. Will be very comfortable!
I ordered about 190 yuan to 200 yuan to 200 yuan, strawberry milk ice cream 2.35 yuan, thick cut bacon oolong noodle 280 yuan, bacon cheese cheese, 200 yuan, Meiji milk popsicle milk tea 175 yuan, medium taste!(Add 10%service fee) ..."
服務人員都非常親切有禮貌，餐點也能感受到用心。我的包包細鏈不小心卡在座位上，服務人員（老闆？）非常有耐心的”坐在地上”幫我處理”快30分鐘”吧，全程沒有臭臉跟不耐煩👍🏻（其實店家有提供籃子可放包包喔，所以是我的問題，超不好意思的）這麽好的店家，大推薦☺️ …,"The service staff are very kind and polite, and the meals can feel attentive.My bags are accidentally stuck on the seat, the service staff (boss?) Very patient ""sitting on the ground"" to help me handle ""almost 30 minutes"", there is no stinky face and impatient (in fact, the shopkeeper There are baskets that are available for baskets, so it's my problem, I'm so embarrassed) such a good shop, big recommendation ☺️ ..."
"停車比較不方便，要去路口的左邊👈轉角處

當天點了乾的烏龍麵，副食：小卷

麵吃起來QQ的，味道有點甜甜

小卷很好吃，很軟伴隨著碳烤香

飲料點鳳梨氣泡飲，還可以","It's inconvenient to park, go to the corner of the left side of the intersection

Once the dry oolong noodles on the day, non -eclipse: small roll

It tastes QQ, the taste is a bit sweet

The small roll is delicious, very soft accompanied by carbon grilled fragrance

Drink pineapple bubble drink, can it be"
"海邊休息的去處
食物給的滿大方
低消$300

拍照：適合喜歡拍食物跟遠眺海邊的人
食物：烏龍麵餐點可以讓男生吃飽材料也給的大方。
📜亮點：
1️⃣2樓的和室設計很適合朋友自拍聊天
2️⃣有插頭可以讓想辦公的人待一下午","Place of rest by the seaside
Food is generous
Low -low $ 300

Take pictures: Suitable for people who like to take food and overlook the sea
Food: Oolong noodle meal can make boys a generous food.
Highlights:
1️⃣ On the 2nd floor of the Hetong Design is very suitable for friends to take a selfie and chat
2️⃣ There is a plug that allows those who want to work to work for one afternoon"
"咖啡用保溫杯裝環保！每一口都是熱的 個人喜歡阿基里斯👍 不過這家沒有提供拿鐵唷
下午4-5點 戶外座位佳 可順便看看海～
假日人潮多 現場候位至少30-40分鐘 服務人員態度優
開車直接停隔壁中角灣停車場🅿️😊 …","Coffee with insulation cups environmentally friendly!Everyone who is hot likes Akris.
At 4-5 pm outdoor seats, you can see the sea by the way ~
Holiday people have many on-site waiting positions at least 30-40 minutes at least 30-40 minutes. The attitude of service staff is good
Drive and stop directly next to the mid -bay parking lot 🅿️😊 ... ..."
"如果開車來，可以停在後面（衝浪福利社那邊），有一片鋪滿石頭的空地。

這是第二次來靠北過日子，一樣是坐在露營區，非常放鬆。如果想看海可以去樓上的位置，但應該蠻熱的。

第一次去覺得甜點超級好吃！但這次就沒有特別的感覺了。
飲料跟麵的部分算中規中矩，鬆餅還不錯！

算是這附近很知名的咖啡廳，以價格、食物、地理位置來說，靠北過日子的cp值是高的。","If you drive, you can stop (the surfing welfare agency), there is a vacant area covered with stones.

This is the second time to live in the north, sitting in the camping area, very relaxed.If you want to see the sea, you can go upstairs, but it should be quite hot.

For the first time, I feel that the dessert is super delicious!But there is no special feeling this time.
The part of the drink follows is quite satisfactory, and the muffin is not bad!

It is a well -known coffee shop nearby. In terms of price, food, and geographical location, the CP value of the north is high."
"咖喱培根烏龍麵—培根很大塊，其他配料也有誠意，算是這趟比較好吃的東西
草莓牛奶冰棒氣泡飲、明治牛奶冰棒奶茶—兩杯均普普，吃氣氛的意味大於食物本身，可能比較適合拍照打卡用
野菇鹹派—不行
天氣好的日子候位稍久，看起來像老闆的男生蠻客氣的，即使人多也沒有不耐煩，這點👍
店裡氣氛不錯，適合放空看海","Curry Bacolor Noodles -Bacon is very large, and other ingredients are also sincere.
Strawberry milk popsicle bubble drink, Meiji milk popsicle milk tea -two cups are all Pup, the meaning of eating atmosphere is greater than the food itself, it may be more suitable for taking pictures and punching cards
Wild mushroom salty faction -can't work
The weather with good weather is a long time, and the boy who looks like a boss is very polite. Even if there are many people, it is not impatient.
The atmosphere in the store is good, suitable for letting go to the sea"
"Q.B.Days
搭乘公車到了預定要吃午餐的地方，已經是下午2點後，然後老闆說他也不知道為什麼今天生意這麼好，戶內外都全客滿，只能候位唷…都來了，就等吧 #已經是又餓又累的狀態
上了樓，直接就沒形象的攤在軟靠墊上，我不想動，沒事請勿打擾XD
餐點很清爽很好吃，小卷超新鮮好吃的！蛋糕份量出乎意料的大份，邊漫無邊際的聊天邊用餐，涼爽的溫度，抬頭就望見的海景  #這才是人生啊","Q.b.days
It was already 2 pm after taking a buses to have a lunch, and then the boss said that he did not know why today's business is so good. #Is already hungry and tired
When I went upstairs, I was directly stimulated on the soft cushion without the image. I don’t want to move. Please do not disturb XD
The meal is very refreshing and delicious, the small roll is super fresh and delicious!The amount of cakes is unexpectedly large, dining while chatting, cool temperature, the sea view that you can see when you look up #This is life."
"非常多細節的一家咖啡店！處處可以看到店家的用心佈置與擺設，很多值得拍照的地方，難怪開幕沒多久整個人潮爆滿。排隊是一定需要，這次因為室內位置要等一小時，所有我們選擇頂樓的位置，有電扇，坐久倒不覺得這麼熱，只是不要選太靠冷氣出風的座位，因為不時會吹出帶有食物味的熱風，如果有時間還是盡量等室內的位置。
手沖咖啡是用STANLEY保溫壺裝著，蠻特別的，在炎熱的天氣下，依然能保持咖啡的冰涼。
威士忌蘋果蛋糕（好像叫這個吧？）帶淡淡的酒味，我是沒有很愛...吃起來有些平凡...
最欣賞這間店除了細節上的用心，處處製造拍照點外，還有樓下有一區展示各國保特瓶，與撿保特瓶送優惠的活動，有機會可以參加看看哦！","A lot of details of a coffee shop!Everywhere you can see the intention of the store, many places worth taking pictures, no wonder the whole crowd is full.It is necessary to queue up. This time, because the indoor location has to wait for an hour, all we choose to choose the top floor, there are electric fans, but we do n’t feel so hot for a long time, just do n’t choose a seat that is too cold, because it will blow out from time to time. The hot wind of food, if you have time, try to wait for the indoor position.
Hand -coffee is packed in a Stanley insulation pot. It is quite special. In hot weather, the coffee can still be kept cold.
The whiskey apple cake (seems to be called this?) With a touch of wine, I don’t love it ... it is a bit ordinary ...
In addition to the details of this shop, in addition to the details of the details, there is a district downstairs to show the special bottle of the country in various countries."
茶蠻香的，器具看得出來用心。鬆餅有點像舒芙蕾，但外皮是脆的，海鹽口味冰淇淋不錯吃，其他的配料一般～門口沒有位置可以停，可能要停去衝浪中心才行。,"Tea is fragrant, and the appliance can see the intention.The muffin is a bit like Shu Frey, but the outer skin is crispy. The sea salt flavor ice cream is good. Other ingredients are average ~ there is no place at the door to stop, and you may stop the surfing center."
來朝聖想去很久滴靠北過日子～冷氣真的開很強很優秀👏🏻(這很重要哈哈哈哈哈)鳳梨氣泡水超爽🍍雞腿奶油烏龍麵！奶油味道有點淡、烏龍麵也煮太軟惹很可惜🥺但雞腿排很大塊又好嫩喔～但這家真的也是去過一次就好的概念😅 …,"Come to the pilgrimage for a long time to live a long time ~ The air -conditioning is really strong and excellent (this is important hahahahaha) Pineapple gas bubble water is super cool 🍍 chicken leg cream oolong noodles!The cream is a bit light, and the oolong noodles are too soft. Unfortunately, it is a pity that the chicken legs are large and tender ~ But this one is really a good concept once ..."
"臨時找的~
服務態度很好（我也是服務業的）,詳細介紹，會隨時過來看需要收空杯空盤的...
所有的餐具都是用露營專用的餐具，很特別....
低消一人250元，超過一千可刷卡..限時90分鐘..未滿座可以一直座...","Find temporarily ~
The service attitude is very good (I am also the service industry). For details, I will come here to see that the empty cup is needed ...
All tableware is a special camping tableware, which is very special ...
Low a low one person 250 yuan, more than one thousand can swipe cards .. 90 minutes in a limited time .. You can always seat in the seat ..."
"今天來時已用完餐，準備點下午茶，低消每人NT$250，點了一杯手沖單品咖啡，手洗耶加雪菲跟一份蜂蜜磅蛋糕跟一份鬆餅。
結果非常驚豔，真是太厲害了!
咖啡裝在保溫盃內就知道很重視溫度。
磅蛋糕紮實、濕潤不乾、口感獨特，各有層次。
最厲害的鬆餅在鑄鐵鍋內成一容器，發酵奶油香氣早飄過來，冰淇淋真是太好吃了，米香跟蘋果還有浸過酒的葡萄乾，口味很搭，真是絕配。","When I came today, I had finished meals, prepared to order afternoon tea, and disappeared NT $ 250 per person. I ordered a cup of hand -made coffee, and washed Jigerfei and a honey cake and a muffin.
The result is very amazing, it's so amazing!
Coffee is packed in the thermal insulation cup to know the temperature.
The pound cake is solid, moist, unique, and unique in taste, each with layers.
The most powerful muffins are a container in the cast iron pot. The fermented cream aroma floats early. The ice cream is really delicious. Mi Xiang and Apple have raisins soaked in wine. The taste is very good."
"心情原本很鬱悶
但朋友帶了我來到這家店
點了兩碗麵一份鬆餅和一杯鳳梨芒果氣泡飲
慢慢享受這裡靜謐的氛圍
我們坐的區域被佈置的很像露營區
位子附近也放了很多書
我們就這樣邊吃邊聊慢慢看書放空
一下午就過去了
在這裡有種被療癒的感覺
很喜歡
有時間會回訪","Mood was very depressed
But my friend brought me to this shop
Ordered two bowls of noodles, a muffin and a cup of pineapple mango bubble drink
Enjoy the quiet atmosphere here
Our area is arranged like a camping area
There are also many books near the seat
We just eat and talk slowly while eating like this
It passed one afternoon
There is a feeling of healing here
Like it very much
I will return to visit when I have time"
"基本上餐食就是烏龍麵4種口味做選擇
覺得咖喱還不錯👍🏻 奶油口味有點清淡
但是裡面配料蠻豐富的（鴻禧菇、紅蘿蔔、馬鈴薯玉蜀黍…）
咖啡好喝，建議可以點來喝看看
裝潢很用心！蠻喜歡的
週末記得先訂位，不然要現場等一下","Basically, the meal is the 4 flavors of oolong noodles to choose from
I think curry is pretty good 油 creamy taste is a bit light
But the ingredients are quite rich (Hongxi mushrooms, carrots, potato jade ...)
Coffee is delicious, it is recommended to order to drink and see
The decoration is very careful!Pretty
Remember to book a place on the weekend, otherwise you have to wait on the spot"
烏龍麵本麵普通，但肉、菜用料實在。蘿蔔沒入味。店員很親切，環境舒適。,"The oolong noodles are ordinary, but the meat and vegetables are real.Radish is not tasteless.The clerk is very kind and the environment is comfortable."
"位置一直都坐得滿滿的，很難坐到窗邊的位置😢
價格稍高一些但餐點很可愛！服務人員也耐心地從頭介紹了一遍菜單，烏龍麵很香。

二樓走出去能看見海，很愜意的地方🏖","The location has always been full, it’s hard to sit on the window.
The price is slightly higher, but the meal is very cute!The service staff also patiently introduced the menu from the beginning, and the oolong noodles were very fragrant.

You can see the sea on the second floor, very pleasant place 🏖"
店裡面很舒服，讓人感覺很愜意很放鬆，餐具充滿outdoor風格，餐點也很好吃，大推鬆餅跟蛋拌麵，外面有一個小院子天氣好可以去外面看海，開車來可以停在中角灣遊客中心，走路一分鐘👍🏻 …,"The shop is very comfortable, it makes people feel very comfortable and relaxed. The tableware is full of Outdoor style, and the meal is also delicious. Pushing the muffin and egg noodles. There is a small yard outside. Stop at the Mid -Kokwan Visitor Center, walk for a minute 👍🏻 ..."
"店家很貼心，最後才上冰淇淋鬆餅（我們點泰奶口味的冰淇淋）因為怕融化，鬆餅口感很特別，鬆鬆軟軟QQ的，吃一份就蠻飽，適合兩人分食，巴斯克蛋糕也很好吃😋不會太甜，加上肉桂醬超搭的！
餐具、衛生紙、水….等都要自己拿取，鹹食也在水準之上，小卷烏龍麵的口感很好，醬料鹹度很ok，小卷咬起來很Q彈，不會像橡皮筋，烤的很香～～唯一美中不足是因為坐在室外（頂樓），很多螞蟻🐜一直跑到盤子上，但是可以看到美美的海～很療癒心情！
一樓還有很多可愛文創商品可以買可以逛，整家店很有自己的風格～","The shop is very intimate, and finally I go to ice cream muffin (we order Thai milk -flavored ice cream) because they are afraid of melting, the muffin has a special taste, loose and soft QQ, and it is quite full to eat one. It is suitable for two people to eat. The cake is also delicious, it will not be too sweet, plus cinnamon sauce!
Table utensils, toilet paper, water ... and so on. They must be taken by themselves. The salty food is also above the standard. The taste of the small roll of oolong noodles is very good. The sauce is very salty. The rubber band is very fragrant ~~ The only disadvantage is because it is sitting outdoors (top floor). Many ants have been running on the plate, but you can see the beautiful sea ~ very healing!
There are many cute cultural and creative products on the first floor to buy or stroll. The entire store has its own style ~"
"位置好，風景優美，停車方便。
餐點爽口，營養均衡，擺盤配色也很注重!!
飲料順口有特色與創意。
搭配海景海風，非常放鬆的一餐。","Good location, beautiful scenery, convenient parking.
The meal is refreshing, the nutrition is balanced, and the color matching color also pays attention !!
Drinks are unique and creative.
With sea -view and sea breeze, a very relaxed meal."
"平日跟假日低消不同250～300
咖啡是保暖瓶裝的很特別👍👍
其他的飲料都令人驚艷🤩🤩
服務也是特別週到🎖️，仔細說明餐點與等餐的等候時間細節。
值得大推的好商家👏👏👏","Different from holiday lows 250-300
Coffee is very special in warming bottle
Other drinks are amazing
The service is also particularly thoughtful ️, carefully explain the details of the waiting time for meals and waiting for meals.
Good merchant worth pushing 推"
"2020.12.26
切地瓜頭🍠
出門還晴空萬里，到了金山就像
按下ㄉㄨㄥˋㄘˉㄉㄨㄥˋㄘˉ的開關，
一下晴朗天晴一下狂風驟雨☔️
第一個行程是網美咖啡☕️店
靠北過日子
騎到靠北過日子剛剛好開門😎
有些狼狽的莉跟小鳳鳳是第一組客人🥳
服務生讓我們隨便選位子，
最後我們選了靠窗的位置
座位區後的牆面是一整排的書📖
一本本用套子套著掛在牆上
大概是金山的天氣...
廁所🚾裡的字條很幽默
老闆一定很促咪🧞‍♂️
1F還有很多有趣的商品跟露營相關的擺設
推推🤟🤟🤟
餐點上的很快，人客也來的很快
還不到十二點就好幾組人客了
我們點了超酷的鐵鍋德式鬆餅🥞
是可愛的鑄鐵鍋啊！🥰🥰🥰
還有地瓜派，應該是用在地地瓜，甜
手沖咖啡☕️是用保溫瓶裝著，
老姜桂圓牛奶🥛也是鐵的保溫罐
不用怕一下就涼了，而且是野營/登山的那種瓶子😍，好親切😂，因為太放鬆了，
玩扇子，拍照📷，放晴🌞到戶外區走走晃晃
原本預計待一小，但一個不小心就
待好待滿2小時😅
天氣☁️晴了一點，繼續前往富貴角燈塔
整路下下停停，真是瘋了的天氣
也太陰晴不定
對了，有收7%的服務費，但放包包的盒子叉子湯匙🥄水都要自己取用","2020.12.26
Cut the sweet potato head
Going out is still clear, it's like Jinshan
Press the switch,
It's sunny and sunny.
The first itinerary is the net beauty coffee ☕️ shop
Live on the north
Riding to the north is just open to open the door 😎
Some embarrassed Li and Xiaofengfeng are the first group of guests 🥳
The waiter asked us to choose a place casually,
Finally, we chose the location of the window
The wall behind the seat area is a whole row of books.
Put on the wall with a sleeve
It is probably the weather in Jinshan ...
The note in the toilet is very humorous
The boss must be very promoted ️️
1F also has a lot of interesting products related to camping related furnishings
Push
The meal is very fast, and the people and guests come quickly
There are several groups of people in less than 12 o'clock
We ordered the cool iron pot moral muffin 🥞
It's a cute cast iron pot!Bleak
There are also sweet potato schools, which should be used in sweet potatoes, sweet
Hand -punch coffee 用️ is packed in a thermos,
Ginger Guiyuan Milk 是 is also an iron thermal insulation tank
Don't be afraid to be cold, and it's the kind of bottle of camping/climbing, so kind, because it's too relaxed,
Play a fan, take a picture, clear it to the outdoor area and walk around
Originally expected to wait for a small, but one accidentally
Wait for 2 hours 待
The weather 了️ It's a little fine and continue to the rich corner lighthouse
Stopping down the whole road is really crazy weather
It's too shade and uncertain
By the way, there is a 7%service fee, but the box fork and spoon of the box of the bag must be taken by yourself"
